
SERVER_NAME   ,OWNER               ,INDEX_NAME                                        ,INDEX_TYPE          ,TABLE_NAME                              ,TABLE_OWNE,TABLE_TYPE          ,  NUM_ROWS,SAMPLE_SIZE_MB,STATUS    ,LAST_ANALYZED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
--------------,--------------------,--------------------------------------------------,--------------------,----------------------------------------,----------,--------------------,----------,--------------,----------,------------------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ORCL          ,MERCADOGOV          ,IDIM_0_TEMPO_02                                   ,NORMAL              ,TB_DIM_0_TEMPO                          ,MERCADOGOV,TABLE               ,##########,    ##########,VALID     ,15/05/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ORCL          ,MERCADOGOV          ,PK_CB_0_DOADOR                                    ,NORMAL              ,TB_DIM_CB_0_DOADOR                      ,MERCADOGOV,TABLE               ,##########,    ##########,VALID     ,06/06/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ORCL          ,MERCADOGOV          ,PK_FAT_FNE_0_FENAE                                ,NORMAL              ,TB_FAT_FNE_0_FENAE                      ,MERCADOGOV,TABLE               ,##########,    ##########,VALID     ,05/09/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ORCL          ,MERCADOGOV          ,PK_FAT_BRF_0_LICITACAO                            ,NORMAL              ,TB_FAT_BRF_0_LICITACAO                  ,MERCADOGOV,TABLE               ,##########,    ##########,VALID     ,02/08/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ORCL          ,MERCADOGOV          ,PK_FAT_ADPF_0_ORCAMENTO                           ,NORMAL              ,TB_FAT_ADPF_0_ORCAMENTO                 ,MERCADOGOV,TABLE               ,##########,    ##########,VALID     ,27/07/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ORCL          ,MERCADOGOV          ,I_DIM_CB_0_CARGO_01                               ,NORMAL              ,TB_DIM_CB_0_CARGO                       ,MERCADOGOV,TABLE               ,##########,    ##########,VALID     ,30/05/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ORCL          ,MERCADOGOV          ,PK_DIM_2RL_0_CLIENTE                              ,NORMAL              ,TB_DIM_2RL_0_CLIENTE                    ,MERCADOGOV,TABLE               ,##########,    ##########,VALID     ,21/06/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ORCL          ,MERCADOGOV          ,I_FAT_CB_0_MOVIMENTO_02                           ,NORMAL              ,TB_FAT_CB_0_MOVIMENTO                   ,MERCADOGOV,TABLE               ,##########,    ##########,N/A       ,04/06/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ORCL          ,MERCADOGOV          ,I_FAT_CB_0_MOVIMENTO_01                           ,NORMAL              ,TB_FAT_CB_0_MOVIMENTO                   ,MERCADOGOV,TABLE               ,##########,    ##########,N/A       ,04/06/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ORCL          ,MERCADOGOV          ,I_FAT_CB_0_MOVIMENTO_05                           ,NORMAL              ,TB_FAT_CB_0_MOVIMENTO                   ,MERCADOGOV,TABLE               ,##########,    ##########,N/A       ,04/06/17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
