
SERVER_NAME   ,OWNER               ,OBJECT_NAME                                       ,OBJECT_TYPE         ,LAST_DDL_TIME                      ,STATUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
--------------,--------------------,--------------------------------------------------,--------------------,-----------------------------------,----------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,MERCADOGOV          ,PRC_DIM_CB_0_EVENTO                               ,PROCEDURE           ,2017/05/29                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_DIM_CB_0_CANDIDATO                            ,PROCEDURE           ,2017/05/29                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_DIM_CB_0_LOCALIZACAO                          ,PROCEDURE           ,2017/05/29                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_FAT_CB_0_MOVIMENTO                            ,PROCEDURE           ,2017/06/02                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_EXE_COBRA                                     ,PROCEDURE           ,2017/06/02                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_AUX_CB_F0_MOVIMENTO                           ,PROCEDURE           ,2017/05/30                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_DIM_CB_0_CARGO                                ,PROCEDURE           ,2017/05/13                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_DIM_ADPF_0_ORGAO                              ,PROCEDURE           ,2017/07/13                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_DIM_ADPF_0_DESPESA                            ,PROCEDURE           ,2017/07/11                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_DIM_ADPF_0_FUNCAO                             ,PROCEDURE           ,2017/07/11                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ORCL          ,MERCADOGOV          ,PRC_DIM_ADPF_0_PROGRAMA                           ,PROCEDURE           ,2017/07/11                         ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
