
SERVER_NAME   ,OWNER               ,OBJECT_NAME                                       ,OBJECT_TYPE         ,LAST_DDL_TIME                           ,STATUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
--------------,--------------------,--------------------------------------------------,--------------------,----------------------------------------,----------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ORCL          ,SYS                 ,UGROUP_SEQUENCE                                   ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,PDB_ALERT_SEQUENCE                                ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,SQLLOG$_SEQ                                       ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,PROFNUM$                                          ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,JOBSEQ                                            ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,ORA_TQ_BASE$                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,TSM_MIG_SEQ$                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,OBJECT_GRANT                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,SYSTEM_GRANT                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,USER_GRANT                                        ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,AUDSES$                                           ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,XSPARAM_REG_SEQUENCE$                             ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,DAM_CLEANUP_SEQ$                                  ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,CACHE_STATS_SEQ_1                                 ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,CACHE_STATS_SEQ_0                                 ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,ST_OPR_ID_SEQ                                     ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,PARTITION_NAME$                                   ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,SNAPSHOT_ID$                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,SNAPSITE_ID$                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,RGROUPSEQ                                         ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,CDC_SUBSCRIBE_SEQ$                                ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,CDC_RSID_SEQ$                                     ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,STREAMS$_CAP_SUB_INST                             ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,STREAMS$_CAPTURE_INST                             ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,STREAMS$_PROPAGATION_SEQNUM                       ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,APPLY$_SOURCE_OBJ_ID                              ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,APPLY$_DEST_OBJ_ID                                ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,STREAMS$_STMT_HANDLER_SEQ                         ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,APPLY$_ERROR_HANDLER_SEQUENCE                     ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,STREAMS$_SM_ID                                    ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,LOG$SEQUENCE                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,COMPARISON_SEQ$                                   ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,COMPARISON_SCAN_SEQ$                              ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,CONFLICT_HANDLER_ID_SEQ$                          ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,PSINDEX_SEQ$                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,AWSEQ$                                            ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,AWLOGSEQ$                                         ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,SYNCREF_GROUP_ID_SEQ$                             ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,SYNCREF_STEP_SEQ$                                 ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,REDEF_SEQ$                                        ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,DM$EXPIMP_ID_SEQ                                  ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYSTEM              ,LOGMNR_EVOLVE_SEQ$                                ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYSTEM              ,LOGMNR_SEQ$                                       ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYSTEM              ,LOGMNR_DIDS$                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYSTEM              ,LOGMNR_UIDS$                                      ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYSTEM              ,ROLLING_EVENT_SEQ$                                ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,CLI_ID$                                           ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ORCL          ,SYS                 ,IDGEN1$                                           ,SEQUENCE            ,22/02/17                                ,VALID                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
