
SERVER_NAME   ,OWNER               ,TABLE_NAME                                                                                          ,LAST_ANALY,   SIZE_MB,                      NUM_ROWS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
--------------,--------------------,----------------------------------------------------------------------------------------------------,----------,----------,------------------------------                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,MGOV_EMPRESA                                                                                        ,2017/08/02,         7,                          6242                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,MGOV_LICITACAO                                                                                      ,2017/08/02,       136,                        231034                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,MGOV_ORGAO                                                                                          ,2017/08/02,         7,                         27787                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,SQLN_EXPLAIN_PLAN                                                                                   ,2017/06/20,         0,                            37                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_ADPF_0_TRANSPARENCIA                                                                         ,2017/07/27,       256,                        458511                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_BRF_D0_EMPRESA                                                                               ,2017/08/02,         1,                          6244                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_BRF_D0_ORGAO                                                                                 ,2017/08/17,         0,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_BRF_D0_PRODUTO                                                                               ,2017/08/02,         7,                         82112                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_BRF_D0_STATUS                                                                                ,2017/08/02,         5,                        231034                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_BRF_F0_LICITACAO                                                                             ,2017/08/02,       136,                        231034                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_CB_F0_MOVIMENTO                                                                              ,2017/07/11,         0,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_CB_SERVIDOR                                                                                  ,2017/06/07,         7,                         22265                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_CB_TSE_EXTRATO_RECEITA                                                                       ,2017/05/29,      1920,                       3970406                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_CB_0_FLAT                                                                                    ,2017/07/11,         0,                             0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_CNF_FALECIDO                                                                                 ,2017/07/10,         7,                         40052                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ORCL          ,MERCADOGOV          ,TB_AUX_CNF_F0_FALECIDO                                                                              ,2017/07/10,         6,                         40052                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
